transaction_id,date,description,merchant,category,amount,type,day_of_week,day_of_month,month,year,is_weekend,balance
1,2024-10-16 10:58:05.115834,Tim Hortons - Dining & Coffee,Tim Hortons,Dining & Coffee,-148.33,debit,Wednesday,16,10,2024,False,-148.33
2,2024-10-17 10:58:05.115834,Lulu Hypermarket - Groceries,Lulu Hypermarket,Groceries,-320.57,debit,Thursday,17,10,2024,False,-468.9
3,2024-10-18 10:58:05.115834,ENOC Petrol - Transportation,ENOC Petrol,Transportation,-222.25,debit,Friday,18,10,2024,True,-691.15
4,2024-10-18 10:58:05.115834,RTA Salik - Transportation,RTA Salik,Transportation,-79.02,debit,Friday,18,10,2024,True,-770.17
5,2024-10-18 10:58:05.115834,West Zone - Groceries,West Zone,Groceries,-272.24,debit,Friday,18,10,2024,True,-1042.4099999999999
6,2024-10-18 10:58:05.115834,Etisalat - Utilities,Etisalat,Utilities,-537.1,debit,Friday,18,10,2024,True,-1579.5099999999998
7,2024-10-19 10:58:05.115834,Uber - Transportation,Uber,Transportation,-264.83,debit,Saturday,19,10,2024,True,-1844.3399999999997
8,2024-10-19 10:58:05.115834,Costa Coffee - Dining & Coffee,Costa Coffee,Dining & Coffee,-131.08,debit,Saturday,19,10,2024,True,-1975.4199999999996
9,2024-10-21 10:58:05.115834,Pizza Hut - Dining & Coffee,Pizza Hut,Dining & Coffee,-85.2,debit,Monday,21,10,2024,False,-2060.6199999999994
10,2024-10-22 10:58:05.115834,PlayStation Store - Entertainment,PlayStation Store,Entertainment,-454.15,debit,Tuesday,22,10,2024,False,-2514.7699999999995
11,2024-10-22 10:58:05.115834,RTA Salik - Transportation,RTA Salik,Transportation,-48.37,debit,Tuesday,22,10,2024,False,-2563.1399999999994
12,2024-10-22 10:58:05.115834,Noon.com - Shopping,Noon.com,Shopping,-574.18,debit,Tuesday,22,10,2024,False,-3137.3199999999993
13,2024-10-23 10:58:05.115834,ENOC Petrol - Transportation,ENOC Petrol,Transportation,-30.59,debit,Wednesday,23,10,2024,False,-3167.9099999999994
14,2024-10-23 10:58:05.115834,Costa Coffee - Dining & Coffee,Costa Coffee,Dining & Coffee,-169.04,debit,Wednesday,23,10,2024,False,-3336.9499999999994
15,2024-10-23 10:58:05.115834,ENOC Petrol - Transportation,ENOC Petrol,Transportation,-272.57,debit,Wednesday,23,10,2024,False,-3609.5199999999995
16,2024-10-23 10:58:05.115834,VOX Cinemas - Entertainment,VOX Cinemas,Entertainment,-238.27,debit,Wednesday,23,10,2024,False,-3847.7899999999995
17,2024-10-23 10:58:05.115834,Tim Hortons - Dining & Coffee,Tim Hortons,Dining & Coffee,-118.85,debit,Wednesday,23,10,2024,False,-3966.6399999999994
18,2024-10-24 10:58:05.115834,Starbucks - Dining & Coffee,Starbucks,Dining & Coffee,-54.03,debit,Thursday,24,10,2024,False,-4020.6699999999996
19,2024-10-25 10:58:05.115834,ADNOC - Transportation,ADNOC,Transportation,-26.8,debit,Friday,25,10,2024,True,-4047.47
20,2024-10-25 10:58:05.115834,Amazon.ae - Shopping,Amazon.ae,Shopping,-711.76,debit,Friday,25,10,2024,True,-4759.23
21,2024-10-25 10:58:05.115834,Pizza Hut - Dining & Coffee,Pizza Hut,Dining & Coffee,-98.35,debit,Friday,25,10,2024,True,-4857.58
22,2024-10-26 10:58:05.115834,ENOC Petrol - Transportation,ENOC Petrol,Transportation,-180.61,debit,Saturday,26,10,2024,True,-5038.19
23,2024-10-27 10:58:05.115834,Spinneys - Groceries,Spinneys,Groceries,-261.3,debit,Sunday,27,10,2024,False,-5299.49
24,2024-10-28 10:58:05.115834,Carrefour - Groceries,Carrefour,Groceries,-243.21,debit,Monday,28,10,2024,False,-5542.7
25,2024-10-28 10:58:05.115834,Parking - Transportation,Parking,Transportation,-198.46,debit,Monday,28,10,2024,False,-5741.16
26,2024-10-28 10:58:05.115834,Noon.com - Shopping,Noon.com,Shopping,-930.19,debit,Monday,28,10,2024,False,-6671.35
27,2024-10-28 10:58:05.115834,DEWA - Utilities,DEWA,Utilities,-576.64,debit,Monday,28,10,2024,False,-7247.990000000001
28,2024-10-28 10:58:05.115834,Tim Hortons - Dining & Coffee,Tim Hortons,Dining & Coffee,-99.89,debit,Monday,28,10,2024,False,-7347.880000000001
29,2024-10-29 10:58:05.115834,Subway - Dining & Coffee,Subway,Dining & Coffee,-26.75,debit,Tuesday,29,10,2024,False,-7374.630000000001
30,2024-10-29 10:58:05.115834,PlayStation Store - Entertainment,PlayStation Store,Entertainment,-938.91,debit,Tuesday,29,10,2024,False,-8313.54
31,2024-10-29 10:58:05.115834,Spinneys - Groceries,Spinneys,Groceries,-147.25,debit,Tuesday,29,10,2024,False,-8460.79
32,2024-10-30 10:58:05.115834,Netflix - Entertainment,Netflix,Entertainment,-228.28,debit,Wednesday,30,10,2024,False,-8689.070000000002
33,2024-10-30 10:58:05.115834,Subway - Dining & Coffee,Subway,Dining & Coffee,-61.51,debit,Wednesday,30,10,2024,False,-8750.580000000002
34,2024-10-30 10:58:05.115834,Spinneys - Groceries,Spinneys,Groceries,-106.93,debit,Wednesday,30,10,2024,False,-8857.510000000002
35,2024-10-30 10:58:05.115834,Disney+ - Subscriptions,Disney+,Subscriptions,-94.32,debit,Wednesday,30,10,2024,False,-8951.830000000002
36,2024-10-31 10:58:05.115834,RTA Salik - Transportation,RTA Salik,Transportation,-57.89,debit,Thursday,31,10,2024,False,-9009.720000000001
37,2024-11-01 10:58:05.115834,Starbucks - Dining & Coffee,Starbucks,Dining & Coffee,-176.05,debit,Friday,1,11,2024,True,-9185.77
38,2024-11-01 10:58:05.115834,Careem - Transportation,Careem,Transportation,-45.09,debit,Friday,1,11,2024,True,-9230.86
39,2024-11-02 10:58:05.115834,VOX Cinemas - Entertainment,VOX Cinemas,Entertainment,-53.78,debit,Saturday,2,11,2024,True,-9284.640000000001
40,2024-11-02 10:58:05.115834,McDonald's - Dining & Coffee,McDonald's,Dining & Coffee,-157.19,debit,Saturday,2,11,2024,True,-9441.830000000002
41,2024-11-03 10:58:05.115834,Talise Fitness - Fitness,Talise Fitness,Fitness,-480.41,debit,Sunday,3,11,2024,False,-9922.240000000002
42,2024-11-03 10:58:05.115834,RTA Salik - Transportation,RTA Salik,Transportation,-147.07,debit,Sunday,3,11,2024,False,-10069.310000000001
43,2024-11-03 10:58:05.115834,Pizza Hut - Dining & Coffee,Pizza Hut,Dining & Coffee,-181.1,debit,Sunday,3,11,2024,False,-10250.410000000002
44,2024-11-04 10:58:05.115834,Fitness First - Fitness,Fitness First,Fitness,-385.81,debit,Monday,4,11,2024,False,-10636.220000000001
45,2024-11-04 10:58:05.115834,Careem - Transportation,Careem,Transportation,-289.67,debit,Monday,4,11,2024,False,-10925.890000000001
46,2024-11-04 10:58:05.115834,Spinneys - Groceries,Spinneys,Groceries,-252.07,debit,Monday,4,11,2024,False,-11177.960000000001
47,2024-11-05 10:58:05.115834,Subway - Dining & Coffee,Subway,Dining & Coffee,-127.66,debit,Tuesday,5,11,2024,False,-11305.62
48,2024-11-05 10:58:05.115834,VOX Cinemas - Entertainment,VOX Cinemas,Entertainment,-58.49,debit,Tuesday,5,11,2024,False,-11364.11
49,2024-11-05 10:58:05.115834,Tim Hortons - Dining & Coffee,Tim Hortons,Dining & Coffee,-118.04,debit,Tuesday,5,11,2024,False,-11482.150000000001
50,2024-11-06 10:58:05.115834,Spinneys - Groceries,Spinneys,Groceries,-295.64,debit,Wednesday,6,11,2024,False,-11777.79
51,2024-11-07 10:58:05.115834,Talise Fitness - Fitness,Talise Fitness,Fitness,-271.61,debit,Thursday,7,11,2024,False,-12049.400000000001
52,2024-11-08 10:58:05.115834,Life Pharmacy - Healthcare,Life Pharmacy,Healthcare,-140.02,debit,Friday,8,11,2024,True,-12189.420000000002
53,2024-11-08 10:58:05.115834,Choithrams - Groceries,Choithrams,Groceries,-237.68,debit,Friday,8,11,2024,True,-12427.100000000002
54,2024-11-08 10:58:05.115834,McDonald's - Dining & Coffee,McDonald's,Dining & Coffee,-194.8,debit,Friday,8,11,2024,True,-12621.900000000001
55,2024-11-09 10:58:05.115834,RTA Salik - Transportation,RTA Salik,Transportation,-232.09,debit,Saturday,9,11,2024,True,-12853.990000000002
56,2024-11-09 10:58:05.115834,Spinneys - Groceries,Spinneys,Groceries,-85.77,debit,Saturday,9,11,2024,True,-12939.760000000002
57,2024-11-09 10:58:05.115834,Costa Coffee - Dining & Coffee,Costa Coffee,Dining & Coffee,-114.79,debit,Saturday,9,11,2024,True,-13054.550000000003
58,2024-11-09 10:58:05.115834,Parking - Transportation,Parking,Transportation,-210.06,debit,Saturday,9,11,2024,True,-13264.610000000002
59,2024-11-10 10:58:05.115834,IKEA - Shopping,IKEA,Shopping,-678.78,debit,Sunday,10,11,2024,False,-13943.390000000003
60,2024-11-10 10:58:05.115834,VOX Cinemas - Entertainment,VOX Cinemas,Entertainment,-146.87,debit,Sunday,10,11,2024,False,-14090.260000000004
61,2024-11-10 10:58:05.115834,Salary Deposit - Company XYZ,Employer,Income,14102.0,credit,Sunday,10,11,2024,False,11.739999999996144
62,2024-11-10 10:58:05.115834,Careem - Transportation,Careem,Transportation,-125.94,debit,Sunday,10,11,2024,False,-114.20000000000385
